name,manufacturer,calories,protein,fiber,fat,sodium,sugars,vitamins,rating
Raisin Nut Bran,General Mills,100,3,2.5,2,140,8.0,25,39.7
Raisin Squares,Kelloggs,90,2,2.0,0,0,6.0,25,55.3
Rice Chex,Ralston Purina,110,1,0.0,0,240,2.0,25,42.0
Rice Krispies,Kelloggs,110,2,0.0,0,290,3.0,25,40.6
Shredded Wheat,Nabisco,80,2,3.0,0,0,0.0,0,68.2
Shredded Wheat 'n'Bran,Nabisco,90,3,4.0,0,0,0.0,0,74.5
Shredded Wheat spoon size,Nabisco,90,3,3.0,0,0,0.0,0,72.8
Smacks,Kelloggs,110,2,1.0,1,70,15.0,25,31.2
Special K,Kelloggs,110,6,1.0,0,230,3.0,25,53.1
Strawberry Fruit Wheats,Nabisco,90,2,3.0,0,15,5.0,25,59.4
Total Corn Flakes,General Mills,110,2,0.0,1,200,3.0,100,38.8
Total Raisin Bran,General Mills,140,3,4.0,1,190,14.0,100,28.6
Total Whole Grain,General Mills,100,3,3.0,1,200,3.0,100,46.7
Triples,General Mills,110,2,0.0,1,250,3.0,25,39.1
Trix,General Mills,110,1,0.0,1,140,12.0,25,27.8
Wheat Chex,Ralston Purina,100,3,3.0,1,230,3.0,25,49.8
Wheaties,General Mills,100,3,3.0,1,200,3.0,25,51.6
Wheaties Honey Gold,General Mills,110,2,1.0,1,200,8.0,25,36.2
