Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal
Existing Customer,38.0,M,2.0,Post-Graduate,Single,$80K - $120K,Blue,22.0,4.0,1.0,2.0,15410.0,0.0
Existing Customer,54.0,F,3.0,Doctorate,Single,Less than $40K,Blue,36.0,4.0,2.0,2.0,2778.0,743.0
Existing Customer,53.0,M,4.0,College,Single,$60K - $80K,Blue,42.0,3.0,3.0,3.0,3096.0,0.0
Existing Customer,46.0,M,4.0,Graduate,Divorced,$60K - $80K,Blue,41.0,4.0,2.0,1.0,5397.0,2336.0
Existing Customer,56.0,F,1.0,Graduate,Single,$40K - $60K,Blue,47.0,3.0,2.0,1.0,6038.0,0.0
Existing Customer,47.0,F,1.0,High School,Unknown,Unknown,Blue,36.0,5.0,1.0,0.0,25657.0,2216.0
Existing Customer,49.0,F,4.0,Graduate,Married,Less than $40K,Blue,36.0,3.0,3.0,3.0,1438.3,666.0
Existing Customer,39.0,M,4.0,High School,Married,$60K - $80K,Blue,32.0,4.0,2.0,2.0,19198.0,2218.0
Existing Customer,45.0,M,1.0,Graduate,Married,Less than $40K,Blue,33.0,4.0,3.0,4.0,2009.0,1795.0
Existing Customer,39.0,F,1.0,Graduate,Single,Less than $40K,Blue,24.0,4.0,3.0,3.0,2310.0,1306.0
Existing Customer,40.0,F,4.0,Unknown,Single,Less than $40K,Blue,25.0,4.0,1.0,1.0,2129.0,1507.0
Existing Customer,62.0,F,0.0,Unknown,Married,Less than $40K,Blue,55.0,3.0,1.0,,2064.0,1282.0
Existing Customer,46.0,M,5.0,High School,Unknown,$120K +,Blue,26.0,4.0,3.0,3.0,34516.0,772.0
Existing Customer,52.0,M,2.0,Doctorate,Married,$120K +,Blue,44.0,1.0,2.0,2.0,34516.0,1382.0
Existing Customer,49.0,M,4.0,Uneducated,Single,$80K - $120K,Blue,30.0,3.0,2.0,3.0,34516.0,0.0
Existing Customer,49.0,F,1.0,Graduate,Divorced,Less than $40K,Blue,44.0,5.0,2.0,2.0,8687.0,1763.0
Existing Customer,41.0,M,1.0,Graduate,Divorced,$80K - $120K,Blue,35.0,6.0,2.0,3.0,19412.0,770.0
Existing Customer,38.0,M,0.0,Unknown,Married,$60K - $80K,Blue,26.0,5.0,2.0,1.0,3809.0,1521.0
Existing Customer,54.0,F,0.0,High School,Married,Less than $40K,Blue,45.0,5.0,2.0,2.0,2704.0,789.0
Existing Customer,57.0,F,1.0,Unknown,Single,Less than $40K,Blue,44.0,4.0,3.0,2.0,2564.0,1258.0
Existing Customer,56.0,F,0.0,High School,Married,Less than $40K,Blue,48.0,3.0,3.0,1.0,1438.3,0.0
Existing Customer,33.0,M,3.0,Graduate,Single,$60K - $80K,Blue,27.0,6.0,2.0,3.0,2043.0,1725.0
Existing Customer,45.0,F,2.0,High School,Single,Unknown,Blue,34.0,4.0,3.0,2.0,3024.0,1835.0
Existing Customer,52.0,M,2.0,High School,Single,$80K - $120K,Blue,46.0,2.0,3.0,3.0,25737.0,1168.0
Existing Customer,49.0,F,3.0,High School,Married,Less than $40K,Blue,36.0,3.0,1.0,3.0,4476.0,1492.0
Existing Customer,61.0,F,1.0,High School,Single,Less than $40K,Blue,56.0,3.0,2.0,2.0,3421.0,2266.0
Existing Customer,44.0,F,1.0,High School,Divorced,Less than $40K,Blue,32.0,1.0,1.0,2.0,2724.0,1288.0
Existing Customer,56.0,F,4.0,Graduate,Single,Unknown,Blue,45.0,2.0,2.0,3.0,9091.0,1306.0
Existing Customer,42.0,F,5.0,Uneducated,Single,Less than $40K,Blue,36.0,6.0,3.0,1.0,1438.3,0.0
Existing Customer,50.0,F,2.0,College,Divorced,Less than $40K,Blue,36.0,3.0,3.0,0.0,1491.0,0.0
Existing Customer,45.0,M,3.0,Graduate,Unknown,$120K +,Blue,36.0,1.0,4.0,3.0,8858.0,1359.0
Existing Customer,49.0,F,2.0,Unknown,Single,Less than $40K,Blue,41.0,5.0,3.0,2.0,2555.0,1815.0
Existing Customer,42.0,F,2.0,Graduate,Married,Less than $40K,Blue,37.0,4.0,2.0,1.0,2250.0,1788.0
Existing Customer,43.0,M,3.0,Graduate,Single,$60K - $80K,Blue,30.0,3.0,2.0,4.0,19711.0,0.0
Existing Customer,43.0,M,1.0,High School,Single,$60K - $80K,Blue,31.0,5.0,3.0,2.0,2834.0,1720.0
Existing Customer,47.0,F,4.0,Graduate,Married,,Blue,34.0,5.0,3.0,4.0,1926.0,879.0
Existing Customer,48.0,F,1.0,Graduate,Single,Less than $40K,Blue,41.0,5.0,1.0,1.0,1860.0,1054.0
Existing Customer,41.0,F,3.0,Graduate,Married,Less than $40K,Blue,36.0,2.0,2.0,3.0,1593.0,0.0
Existing Customer,50.0,M,2.0,Post-Graduate,Single,$60K - $80K,Blue,36.0,1.0,3.0,2.0,2296.0,1371.0
Existing Customer,36.0,M,3.0,High School,Divorced,$120K +,Blue,36.0,3.0,2.0,3.0,3404.0,1568.0
Existing Customer,43.0,M,2.0,Graduate,Single,$80K - $120K,Blue,36.0,2.0,2.0,1.0,34427.0,1613.0
Existing Customer,32.0,M,1.0,Unknown,Single,$40K - $60K,Silver,16.0,3.0,3.0,1.0,17894.0,2517.0
Existing Customer,39.0,M,2.0,Graduate,Married,$80K - $120K,Blue,21.0,5.0,3.0,3.0,3281.0,1272.0
Existing Customer,56.0,M,1.0,Graduate,Married,$60K - $80K,Blue,36.0,3.0,2.0,3.0,15124.0,1974.0
Existing Customer,36.0,F,3.0,Uneducated,Unknown,Unknown,Blue,28.0,5.0,3.0,2.0,5393.0,2509.0
Existing Customer,44.0,F,1.0,Unknown,Single,Less than $40K,Blue,33.0,1.0,3.0,1.0,2211.0,768.0
Existing Customer,32.0,F,2.0,Graduate,Divorced,Unknown,Silver,27.0,2.0,3.0,1.0,33779.0,1526.0
Existing Customer,34.0,F,1.0,Graduate,Unknown,Less than $40K,Blue,23.0,4.0,1.0,1.0,2207.0,1527.0
Existing Customer,47.0,M,3.0,High School,Married,$80K - $120K,Blue,40.0,3.0,3.0,3.0,12945.0,1582.0
Existing Customer,46.0,F,4.0,Unknown,Single,$40K - $60K,Silver,35.0,6.0,3.0,2.0,16985.0,968.0
Existing Customer,51.0,M,2.0,High School,Married,$60K - $80K,Blue,38.0,5.0,3.0,2.0,22332.0,1748.0
Existing Customer,46.0,M,3.0,Uneducated,Married,Less than $40K,Silver,33.0,5.0,2.0,2.0,12685.0,0.0
Existing Customer,54.0,F,2.0,Uneducated,Single,Less than $40K,Blue,43.0,6.0,1.0,4.0,3006.0,633.0
Existing Customer,48.0,F,5.0,Unknown,Married,Less than $40K,Blue,43.0,1.0,1.0,3.0,2876.0,1628.0
Existing Customer,55.0,F,2.0,Post-Graduate,Married,Less than $40K,Blue,49.0,4.0,1.0,1.0,2414.0,2276.0
Existing Customer,37.0,M,2.0,Graduate,Married,Less than $40K,Blue,36.0,6.0,3.0,2.0,2463.0,1751.0
Existing Customer,39.0,F,2.0,Unknown,Single,Less than $40K,Blue,29.0,6.0,2.0,4.0,1923.0,845.0
Existing Customer,44.0,F,4.0,Graduate,Married,Less than $40K,Blue,25.0,5.0,3.0,2.0,1602.0,1044.0
Existing Customer,43.0,F,2.0,High School,Married,Less than $40K,Blue,36.0,5.0,1.0,3.0,3761.0,2121.0
Existing Customer,51.0,F,1.0,Graduate,Single,Less than $40K,Blue,37.0,4.0,3.0,4.0,4402.0,697.0
Existing Customer,50.0,F,2.0,Graduate,Married,Less than $40K,Blue,37.0,3.0,2.0,4.0,1963.0,1357.0
Existing Customer,52.0,F,2.0,Post-Graduate,Single,Less than $40K,Blue,34.0,3.0,3.0,3.0,6265.0,1677.0
Existing Customer,39.0,M,2.0,Unknown,Unknown,$120K +,Blue,34.0,2.0,2.0,2.0,34516.0,1082.0
Existing Customer,44.0,F,3.0,Uneducated,Single,Less than $40K,Blue,36.0,5.0,3.0,1.0,1438.3,
Existing Customer,45.0,F,2.0,Doctorate,Single,Less than $40K,Blue,33.0,6.0,2.0,3.0,5553.0,1117.0
Existing Customer,62.0,F,0.0,Unknown,Single,Less than $40K,Blue,56.0,6.0,3.0,3.0,2582.0,1528.0
Existing Customer,41.0,F,2.0,Graduate,Married,$40K - $60K,Blue,36.0,6.0,2.0,3.0,2329.0,1271.0
Existing Customer,48.0,F,1.0,Unknown,Single,Less than $40K,Blue,36.0,1.0,1.0,2.0,3918.0,813.0
Existing Customer,42.0,M,2.0,Graduate,Single,$80K - $120K,Blue,36.0,3.0,1.0,3.0,3046.0,1231.0
Existing Customer,65.0,M,0.0,Doctorate,Single,Less than $40K,Blue,52.0,3.0,3.0,4.0,3675.0,0.0
Existing Customer,51.0,M,3.0,Graduate,Married,$120K +,Blue,42.0,2.0,1.0,3.0,7932.0,2140.0
Existing Customer,41.0,M,4.0,Graduate,Single,$120K +,Blue,35.0,5.0,3.0,3.0,34516.0,825.0
Existing Customer,52.0,F,3.0,Graduate,Married,Less than $40K,Blue,46.0,6.0,5.0,3.0,2814.0,2162.0
Existing Customer,59.0,M,1.0,Graduate,Married,$60K - $80K,Blue,48.0,4.0,3.0,2.0,14257.0,1113.0
Existing Customer,55.0,F,2.0,College,Single,Less than $40K,Blue,36.0,5.0,2.0,3.0,5719.0,892.0
Existing Customer,52.0,F,1.0,Uneducated,Married,$40K - $60K,Blue,47.0,6.0,3.0,3.0,2151.0,1338.0
Existing Customer,40.0,F,3.0,Graduate,Married,Less than $40K,Blue,36.0,6.0,1.0,3.0,7582.0,1942.0
Existing Customer,34.0,F,2.0,Graduate,Single,Less than $40K,Blue,36.0,4.0,3.0,4.0,3625.0,2517.0
Existing Customer,50.0,M,2.0,High School,Unknown,$60K - $80K,Blue,41.0,6.0,2.0,2.0,3244.0,1762.0
Existing Customer,57.0,M,1.0,High School,Married,$80K - $120K,Blue,36.0,3.0,2.0,2.0,6543.0,2260.0
Existing Customer,54.0,F,3.0,High School,Married,Less than $40K,Blue,42.0,4.0,2.0,3.0,1438.3,1108.0
Existing Customer,33.0,F,3.0,Graduate,Married,Less than $40K,Blue,25.0,3.0,2.0,2.0,2307.0,1385.0
Existing Customer,54.0,M,3.0,Uneducated,Married,Less than $40K,Blue,36.0,3.0,3.0,2.0,1556.0,1278.0
Existing Customer,33.0,F,0.0,Graduate,Single,Less than $40K,Blue,26.0,6.0,1.0,3.0,2382.0,1565.0
Existing Customer,47.0,F,2.0,High School,Married,Less than $40K,Blue,34.0,4.0,2.0,4.0,2730.0,1970.0
Existing Customer,57.0,M,3.0,College,Single,$60K - $80K,Blue,36.0,6.0,3.0,2.0,10350.0,0.0
Existing Customer,44.0,F,4.0,High School,Single,$40K - $60K,Blue,36.0,3.0,2.0,2.0,2055.0,0.0
Existing Customer,54.0,M,1.0,Uneducated,Married,$80K - $120K,Blue,43.0,3.0,1.0,4.0,25882.0,1699.0
Existing Customer,39.0,M,3.0,High School,Single,$80K - $120K,Blue,30.0,5.0,3.0,3.0,6347.0,569.0
Existing Customer,39.0,M,1.0,Uneducated,Single,$80K - $120K,Blue,36.0,1.0,1.0,3.0,34458.0,846.0
Existing Customer,50.0,F,2.0,Unknown,Married,Unknown,Blue,31.0,4.0,2.0,2.0,3604.0,0.0
Existing Customer,52.0,M,1.0,Graduate,Married,$120K +,Blue,44.0,6.0,1.0,4.0,9274.0,2097.0
Existing Customer,45.0,F,5.0,Unknown,Divorced,$40K - $60K,Blue,33.0,2.0,2.0,3.0,1438.3,0.0
Existing Customer,50.0,M,2.0,Unknown,Single,$120K +,Blue,36.0,5.0,1.0,3.0,9697.0,0.0
Existing Customer,42.0,M,3.0,Uneducated,Unknown,Less than $40K,Blue,35.0,4.0,5.0,0.0,6218.0,2134.0
Existing Customer,36.0,F,2.0,Uneducated,Single,Less than $40K,Blue,30.0,6.0,2.0,3.0,2684.0,1474.0
Existing Customer,56.0,M,1.0,Uneducated,Married,$80K - $120K,Blue,40.0,6.0,1.0,1.0,17450.0,2193.0
Existing Customer,62.0,M,0.0,College,Married,$40K - $60K,Blue,54.0,3.0,3.0,4.0,1438.3,0.0
Existing Customer,41.0,F,2.0,Post-Graduate,Single,Less than $40K,Blue,35.0,6.0,3.0,2.0,8666.0,0.0
Existing Customer,38.0,F,2.0,Post-Graduate,Married,$40K - $60K,Blue,28.0,2.0,1.0,1.0,4468.0,2395.0
Existing Customer,53.0,F,3.0,Graduate,Married,Unknown,Blue,45.0,6.0,1.0,3.0,1882.0,0.0
Existing Customer,39.0,M,1.0,Post-Graduate,Single,$40K - $60K,Blue,35.0,5.0,1.0,1.0,2623.0,2121.0
Existing Customer,52.0,F,4.0,Graduate,Married,Less than $40K,Blue,36.0,6.0,3.0,1.0,3021.0,1530.0
Existing Customer,53.0,F,1.0,Post-Graduate,Single,$40K - $60K,Blue,43.0,5.0,1.0,0.0,2618.0,2026.0
Existing Customer,45.0,M,4.0,Graduate,Married,$120K +,Blue,36.0,5.0,2.0,3.0,34516.0,880.0
Existing Customer,43.0,F,2.0,High School,Married,$40K - $60K,Blue,34.0,3.0,1.0,3.0,2032.0,1008.0
Existing Customer,49.0,F,2.0,Uneducated,Married,Less than $40K,Blue,34.0,6.0,2.0,4.0,5242.0,1465.0
Existing Customer,42.0,M,4.0,College,Single,$40K - $60K,Blue,36.0,3.0,3.0,2.0,2502.0,1488.0
Existing Customer,51.0,F,4.0,Graduate,Single,Less than $40K,Blue,39.0,3.0,2.0,1.0,2847.0,
Existing Customer,42.0,F,2.0,High School,Single,Less than $40K,Blue,23.0,2.0,2.0,3.0,3172.0,1160.0
Existing Customer,40.0,M,2.0,Graduate,Married,$40K - $60K,Blue,36.0,5.0,2.0,2.0,2494.0,1492.0
Existing Customer,52.0,F,3.0,Graduate,Married,Less than $40K,Blue,40.0,2.0,2.0,1.0,9230.0,1518.0
Existing Customer,39.0,F,2.0,High School,Single,$40K - $60K,Blue,26.0,6.0,3.0,2.0,3142.0,1639.0
Existing Customer,50.0,M,3.0,Graduate,Single,$60K - $80K,Blue,38.0,4.0,1.0,1.0,10762.0,703.0
Existing Customer,43.0,F,2.0,Unknown,Unknown,Less than $40K,Blue,36.0,4.0,3.0,3.0,1780.0,1541.0
Existing Customer,43.0,M,3.0,Uneducated,Unknown,$40K - $60K,Blue,38.0,5.0,4.0,2.0,9449.0,1914.0
Existing Customer,47.0,M,3.0,Graduate,Married,$80K - $120K,Blue,42.0,6.0,3.0,3.0,13189.0,1205.0
Existing Customer,47.0,F,5.0,Post-Graduate,Single,Less than $40K,Blue,37.0,2.0,3.0,3.0,9430.0,0.0
Existing Customer,32.0,M,1.0,Unknown,Single,$40K - $60K,Blue,24.0,6.0,2.0,3.0,10060.0,2322.0
Existing Customer,45.0,F,2.0,Graduate,Single,Less than $40K,Blue,34.0,3.0,3.0,1.0,4265.0,1622.0
Existing Customer,52.0,M,4.0,Graduate,Married,$80K - $120K,Blue,45.0,2.0,2.0,3.0,23070.0,1701.0
Existing Customer,40.0,M,3.0,Post-Graduate,Single,$120K +,Blue,26.0,1.0,2.0,,34516.0,2088.0
Existing Customer,43.0,F,2.0,Uneducated,Unknown,Unknown,Blue,36.0,5.0,1.0,0.0,6931.0,1380.0
Existing Customer,52.0,F,2.0,Graduate,Married,Less than $40K,Blue,39.0,4.0,1.0,3.0,8431.0,1862.0
Existing Customer,55.0,M,2.0,Graduate,Single,$80K - $120K,Silver,36.0,5.0,1.0,1.0,34516.0,1316.0
Existing Customer,45.0,F,2.0,Uneducated,Single,Less than $40K,Blue,38.0,3.0,2.0,1.0,7486.0,1758.0
Existing Customer,45.0,F,3.0,High School,Divorced,Less than $40K,Blue,37.0,2.0,1.0,2.0,2052.0,0.0
Existing Customer,65.0,M,0.0,Uneducated,Single,Less than $40K,Blue,54.0,3.0,1.0,5.0,2644.0,1691.0
Existing Customer,46.0,F,3.0,Graduate,Married,Unknown,Blue,40.0,1.0,1.0,1.0,3044.0,1973.0
Existing Customer,51.0,M,0.0,Doctorate,Single,$120K +,Platinum,44.0,3.0,2.0,3.0,34516.0,1925.0
Existing Customer,44.0,M,2.0,Graduate,Single,Unknown,Blue,36.0,6.0,3.0,1.0,28292.0,0.0
Existing Customer,44.0,F,1.0,Unknown,Single,Less than $40K,Blue,31.0,6.0,3.0,1.0,1438.3,0.0
Existing Customer,47.0,M,2.0,Unknown,Single,$80K - $120K,Blue,41.0,6.0,1.0,1.0,2877.0,1136.0
Existing Customer,44.0,F,4.0,High School,Single,Less than $40K,Blue,30.0,1.0,2.0,3.0,6882.0,1930.0
Existing Customer,47.0,M,1.0,College,Married,$80K - $120K,Blue,39.0,2.0,3.0,1.0,5660.0,2210.0
Existing Customer,47.0,F,3.0,Uneducated,Single,$40K - $60K,Blue,35.0,6.0,5.0,2.0,4543.0,1028.0
Existing Customer,29.0,M,0.0,College,Divorced,Unknown,Blue,15.0,6.0,3.0,2.0,3107.0,1720.0
Existing Customer,59.0,M,1.0,College,Married,$60K - $80K,Blue,36.0,4.0,1.0,2.0,7871.0,1687.0
Existing Customer,46.0,M,1.0,Uneducated,Married,$60K - $80K,Blue,27.0,1.0,3.0,1.0,13056.0,1890.0
Existing Customer,52.0,F,1.0,Post-Graduate,Married,Unknown,Blue,42.0,5.0,1.0,2.0,1481.0,0.0
Existing Customer,46.0,M,3.0,Graduate,Unknown,$80K - $120K,Blue,34.0,5.0,3.0,4.0,16546.0,1850.0
Existing Customer,45.0,M,5.0,College,Single,$80K - $120K,Blue,35.0,4.0,2.0,1.0,33755.0,2301.0
Existing Customer,51.0,M,2.0,Graduate,Single,$40K - $60K,Blue,41.0,1.0,3.0,3.0,3062.0,2058.0
Existing Customer,27.0,F,0.0,Graduate,Single,Less than $40K,Blue,36.0,6.0,1.0,2.0,1677.0,1598.0
Existing Customer,41.0,M,4.0,College,Married,$80K - $120K,Silver,34.0,4.0,3.0,3.0,34516.0,1347.0
Existing Customer,47.0,F,2.0,College,Married,Less than $40K,Blue,36.0,1.0,3.0,3.0,2780.0,2216.0
Existing Customer,45.0,F,2.0,High School,Single,Less than $40K,Platinum,36.0,1.0,3.0,1.0,15987.0,2262.0
Existing Customer,45.0,M,2.0,Unknown,Married,$40K - $60K,Blue,27.0,2.0,2.0,3.0,5800.0,1434.0
Existing Customer,49.0,M,3.0,Graduate,Married,Less than $40K,Blue,36.0,3.0,3.0,5.0,2976.0,1817.0
Existing Customer,51.0,F,3.0,Graduate,Single,Unknown,Blue,45.0,4.0,3.0,4.0,2420.0,2379.0
Existing Customer,52.0,F,4.0,Graduate,Single,Less than $40K,Blue,46.0,3.0,3.0,3.0,3231.0,2215.0
Existing Customer,49.0,F,1.0,Graduate,Married,Less than $40K,Blue,36.0,3.0,3.0,0.0,8228.0,0.0
Existing Customer,49.0,M,1.0,Graduate,Married,$120K +,Blue,39.0,3.0,2.0,3.0,34516.0,0.0
Existing Customer,30.0,M,0.0,Graduate,Divorced,$60K - $80K,Blue,22.0,3.0,3.0,3.0,6476.0,0.0
Existing Customer,28.0,M,0.0,High School,Single,Less than $40K,Blue,36.0,6.0,3.0,4.0,2295.0,1015.0
Existing Customer,38.0,F,2.0,Unknown,Single,Less than $40K,Blue,28.0,6.0,2.0,1.0,3206.0,2459.0
Existing Customer,37.0,M,1.0,Doctorate,Single,$80K - $120K,Blue,30.0,6.0,3.0,2.0,19300.0,1181.0
Existing Customer,49.0,M,3.0,High School,Unknown,$40K - $60K,Blue,38.0,4.0,1.0,3.0,3051.0,1783.0
Existing Customer,39.0,M,3.0,High School,Married,$60K - $80K,Blue,27.0,6.0,2.0,1.0,2583.0,0.0
Existing Customer,50.0,F,3.0,Graduate,Unknown,Less than $40K,Blue,39.0,1.0,1.0,3.0,3287.0,2517.0
Existing Customer,40.0,F,1.0,High School,Married,Unknown,Blue,,3.0,3.0,4.0,15970.0,1212.0
Existing Customer,67.0,M,0.0,Graduate,Married,$40K - $60K,Blue,56.0,4.0,2.0,1.0,5876.0,1297.0
Existing Customer,53.0,M,0.0,Graduate,Married,$120K +,Blue,33.0,4.0,3.0,3.0,21006.0,1905.0
Existing Customer,49.0,F,4.0,Graduate,Married,Less than $40K,Blue,34.0,3.0,1.0,3.0,2560.0,1430.0
Existing Customer,52.0,F,2.0,Graduate,Married,Less than $40K,Blue,36.0,3.0,1.0,3.0,4950.0,1829.0
Existing Customer,52.0,F,4.0,Unknown,Married,Less than $40K,Blue,41.0,3.0,3.0,,2294.0,1787.0
Existing Customer,51.0,F,0.0,Unknown,Married,Less than $40K,Blue,37.0,4.0,3.0,2.0,1515.0,996.0
Existing Customer,54.0,F,1.0,Graduate,Married,Less than $40K,Blue,41.0,3.0,2.0,4.0,4658.0,588.0
Existing Customer,48.0,M,3.0,Graduate,Unknown,$60K - $80K,Blue,35.0,5.0,1.0,3.0,2829.0,2342.0
Existing Customer,48.0,F,2.0,Doctorate,Married,$40K - $60K,Blue,34.0,3.0,1.0,4.0,5069.0,1843.0
Existing Customer,52.0,M,3.0,Uneducated,Single,$60K - $80K,Blue,40.0,3.0,1.0,1.0,1438.3,512.0
Existing Customer,59.0,F,0.0,Unknown,Single,$40K - $60K,Blue,42.0,6.0,2.0,2.0,1931.0,1409.0
Existing Customer,59.0,F,1.0,Graduate,Single,Less than $40K,Blue,36.0,3.0,2.0,3.0,6335.0,1128.0
Existing Customer,47.0,M,4.0,Graduate,Single,$80K - $120K,Blue,41.0,5.0,3.0,2.0,26442.0,1642.0
Existing Customer,43.0,M,5.0,Unknown,Single,$60K - $80K,Blue,24.0,3.0,1.0,3.0,4556.0,0.0
Existing Customer,42.0,F,3.0,Graduate,Married,Less than $40K,Blue,23.0,4.0,2.0,3.0,2797.0,1943.0
Existing Customer,45.0,M,4.0,High School,Unknown,$80K - $120K,Blue,34.0,4.0,3.0,3.0,23539.0,1261.0
