STA,YR,MO,DA,MAX,MIN
31701,42,11,1,84.0,69.0
22504,43,8,27,86.0,72.0
32503,45,8,19,97.0,88.0
10718,43,4,5,90.0,74.0
32503,44,5,1,90.0,77.0
13005,44,8,27,82.0,65.0
11103,45,10,1,86.0,79.0
10102,44,5,21,93.0,69.0
10505,45,8,15,90.0,70.0
11101,44,4,25,74.0,66.0
16504,43,3,14,-23.0,-36.0
82501,44,5,22,68.0,59.0
11610,44,11,13,90.0,73.0
31501,45,1,1,81.0,65.0
32301,44,6,2,99.0,65.0
13007,43,7,10,88.0,67.0
32812,45,4,7,106.0,76.0
31701,44,6,19,89.0,69.0
31701,44,5,8,98.0,71.0
33117,44,2,18,50.0,41.0
10002,44,9,23,82.0,74.0
31701,43,12,24,77.0,63.0
32301,45,6,1,103.0,70.0
12702,44,5,4,81.0,69.0
13007,44,11,13,66.0,40.0
33031,43,2,27,60.0,40.0
32503,45,9,28,99.0,80.0
22509,41,8,24,88.0,69.0
11606,45,12,11,85.0,76.0
50802,43,6,3,79.0,66.0
33031,44,10,18,79.0,55.0
10701,40,5,7,93.0,74.0
33406,45,1,2,45.0,26.0
33044,43,5,21,80.0,45.0
33117,45,2,18,57.0,47.0
11604,45,5,15,84.0,71.0
33003,44,11,3,73.0,54.0
60701,43,5,14,89.0,79.0
61501,43,10,8,84.0,76.0
11902,45,7,18,88.0,73.0
16201,45,2,8,35.0,29.0
22507,45,7,31,87.0,68.0
33405,45,6,24,113.0,75.0
31701,45,1,4,83.0,58.0
22508,40,4,10,76.0,66.0
16504,45,12,20,39.0,22.0
12702,45,5,27,84.0,72.0
60701,45,9,13,93.0,80.0
33117,45,8,27,86.0,72.0
22504,44,6,14,86.0,69.0
13002,43,1,20,72.0,45.0
12001,43,8,1,108.0,67.0
32803,44,8,19,84.0,78.0
50301,45,12,28,87.0,77.0
13201,45,4,30,67.0,56.0
44401,45,12,16,26.0,12.0
33305,45,3,12,59.0,34.0
34104,44,7,29,90.0,65.0
12101,45,6,14,108.0,81.0
33117,45,4,27,70.0,60.0
34005,45,1,14,51.0,43.0
13201,44,9,28,73.0,64.0
11610,44,2,20,84.0,67.0
13002,44,2,28,61.0,51.0
16504,42,5,6,48.0,36.0
10704,45,2,14,90.0,70.0
11701,44,1,13,91.0,64.0
10002,45,9,22,81.0,73.0
16407,43,2,27,18.0,9.0
50302,43,6,2,87.0,72.0
11604,42,7,21,85.0,78.0
42401,45,12,19,70.0,63.0
13007,44,10,27,68.0,45.0
31001,44,7,29,85.0,72.0
13601,43,2,13,67.0,60.0
32815,44,12,30,85.0,52.0
34150,45,12,10,48.0,39.0
60701,44,1,29,86.0,80.0
50401,45,6,13,89.0,74.0
32803,43,6,17,87.0,82.0
10705,43,11,9,86.0,74.0
22508,45,6,19,82.0,67.0
33109,43,12,18,61.0,54.0
33031,44,7,19,88.0,64.0
32701,43,4,30,106.0,65.0
10718,43,3,29,91.0,75.0
13007,44,6,25,88.0,59.0
12801,44,12,12,70.0,60.0
50801,43,3,2,82.0,74.0
22508,44,7,14,79.0,69.0
22504,43,1,19,78.0,60.0
31701,45,4,11,98.0,68.0
11902,45,9,23,88.0,71.0
16201,45,12,28,40.0,31.0
10001,43,2,22,88.0,72.0
11501,45,3,28,85.0,66.0
33303,45,7,14,95.0,69.0
32805,45,3,17,98.0,64.0
50302,44,12,10,89.0,77.0
11801,45,12,21,87.0,74.0
16504,44,6,24,66.0,48.0
33044,43,9,10,92.0,69.0
10502,42,1,14,83.0,68.0
10002,44,11,8,84.0,74.0
80504,44,4,4,85.0,74.0
11604,44,8,14,86.0,75.0
80504,44,3,5,87.0,76.0
22504,42,1,15,85.0,65.0
12101,45,3,22,94.0,60.0
10701,43,12,30,88.0,69.0
32601,45,1,11,63.0,39.0
11501,43,11,20,84.0,70.0
12001,44,9,28,104.0,66.0
31501,44,6,5,92.0,84.0
31101,43,6,5,97.0,78.0
34018,45,9,25,66.0,51.0
10502,42,5,18,86.0,72.0
15027,45,1,11,37.0,32.0
10703,43,9,21,86.0,77.0
31302,44,2,21,77.0,49.0
34111,45,1,3,48.0,37.0
30001,44,1,11,87.0,75.0
50304,45,1,21,88.0,73.0
10802,43,12,22,84.0,68.0
32801,43,10,2,91.0,74.0
12101,44,4,1,99.0,70.0
10505,44,11,5,90.0,67.0
11103,44,12,2,74.0,65.0
11601,45,1,10,84.0,72.0
34139,45,5,15,91.0,65.0
32701,45,1,6,60.0,39.0
50401,43,4,8,89.0,74.0
31501,44,12,30,82.0,71.0
31302,45,2,1,74.0,46.0
13005,44,10,12,80.0,55.0
12101,44,6,24,111.0,90.0
32803,43,3,28,94.0,64.0
11103,45,7,18,87.0,79.0
22502,45,7,15,86.0,63.0
16201,44,10,4,50.0,46.0
32503,45,5,6,90.0,71.0
20501,42,12,31,81.0,73.0
10704,43,12,19,76.0,71.0
50401,43,12,9,88.0,74.0
11601,42,4,15,86.0,78.0
31701,45,5,10,96.0,70.0
50801,44,5,25,78.0,69.0
10502,44,3,29,78.0,70.0
10705,43,2,4,88.0,74.0
12101,45,7,20,100.0,82.0
32601,43,1,19,73.0,50.0
33501,45,6,21,100.0,68.0
11701,45,8,2,92.0,75.0
10806,45,5,28,79.0,59.0
32801,43,6,12,103.0,87.0
32702,45,5,27,102.0,81.0
34113,44,10,3,70.0,51.0
11606,45,10,4,85.0,74.0
82503,44,4,21,91.0,60.0
81601,44,4,4,83.0,73.0
11101,43,8,11,82.0,75.0
80425,44,9,18,85.0,74.0
22504,40,11,21,82.0,65.0
50802,43,10,2,76.0,62.0
22508,40,12,15,76.0,64.0
10102,45,6,8,86.0,74.0
33303,44,8,24,97.0,75.0
11501,43,12,23,83.0,70.0
10802,44,4,4,87.0,78.0
82405,44,4,10,82.0,70.0
60701,43,1,3,86.0,77.0
33303,45,1,14,63.0,45.0
22508,45,6,26,77.0,67.0
32501,43,9,20,86.0,69.0
16201,43,12,9,44.0,37.0
34150,45,12,30,54.0,41.0
11601,41,12,26,85.0,76.0
22502,44,12,15,75.0,65.0
10704,44,2,27,89.0,72.0
22504,44,11,4,84.0,73.0
11610,42,10,1,90.0,73.0
80411,44,1,27,89.0,75.0
33109,45,9,1,88.0,70.0
31101,45,6,12,99.0,73.0
50302,43,5,23,84.0,72.0
32503,45,7,31,103.0,89.0
32906,45,1,11,75.0,46.0
10703,45,5,22,85.0,77.0
32501,43,12,29,80.0,69.0
11610,42,12,9,86.0,67.0
10701,43,3,16,91.0,71.0
11501,44,7,3,88.0,78.0
34022,45,5,20,78.0,54.0
11103,44,8,31,88.0,77.0
10718,44,12,27,88.0,70.0
32601,44,1,13,80.0,49.0
22509,41,4,15,81.0,62.0
16202,44,4,10,50.0,40.0
11601,42,2,10,84.0,74.0
82502,43,8,1,69.0,48.0
32601,44,12,8,86.0,57.0
12701,43,8,27,94.0,74.0
33117,44,5,5,81.0,59.0
33031,43,3,26,65.0,50.0
16202,43,8,3,55.0,46.0
11604,45,5,22,84.0,75.0
32301,45,4,26,101.0,60.0
50303,45,10,7,85.0,73.0
34113,45,8,24,85.0,69.0
11501,45,10,24,86.0,76.0
11501,44,9,27,82.0,74.0
32701,44,10,1,99.0,65.0
16202,43,3,12,27.0,18.0
12702,44,12,3,81.0,68.0
31501,43,11,14,92.0,64.0
34111,45,1,18,55.0,41.0
11610,45,11,16,85.0,73.0
20501,43,1,18,82.0,74.0
32701,43,6,15,82.0,72.0
22504,43,5,25,86.0,72.0
50802,45,12,18,85.0,67.0
32301,44,10,27,90.0,56.0
16405,45,5,12,57.0,33.0
50401,45,2,12,91.0,73.0
32601,44,11,26,90.0,61.0
32701,44,4,15,100.0,70.0
13013,45,9,27,81.0,62.0
22508,43,8,5,84.0,71.0
82506,45,10,28,84.0,62.0
50801,42,8,23,70.0,65.0
33401,45,1,3,61.0,49.0
12001,44,5,31,91.0,57.0
60701,44,7,8,91.0,81.0
11704,45,10,31,90.0,71.0
80411,45,4,7,86.0,75.0
33303,44,4,2,77.0,57.0
12801,44,3,1,83.0,65.0
10002,45,12,29,86.0,72.0
81404,43,12,14,84.0,72.0
11101,44,2,9,89.0,63.0
10718,45,9,9,89.0,75.0
11704,45,1,15,86.0,63.0
33023,44,4,2,87.0,45.0
12101,44,2,3,88.0,71.0
16407,44,2,15,16.0,6.0
16405,44,12,9,40.0,23.0
33023,45,12,12,59.0,45.0
61501,44,6,9,84.0,77.0
16405,44,10,21,32.0,15.0
10001,42,11,12,90.0,73.0
10718,43,2,6,89.0,74.0
32601,45,10,13,97.0,68.0
33305,44,9,18,90.0,63.0
31501,44,1,22,81.0,70.0
16504,42,7,3,67.0,45.0
31001,45,3,27,91.0,64.0
34104,45,9,25,66.0,58.0
50801,43,6,3,78.0,72.0
11606,45,8,15,89.0,79.0
10704,43,10,29,86.0,71.0
13601,44,5,28,79.0,69.0
50403,45,3,22,89.0,74.0
31701,44,6,26,83.0,69.0
32801,42,10,20,92.0,63.0
22504,40,9,25,82.0,73.0
11801,43,1,1,89.0,74.0
33501,44,6,5,96.0,69.0
16405,45,10,23,38.0,32.0
10807,45,10,18,86.0,65.0
20602,45,2,11,82.0,78.0
32904,43,7,28,95.0,74.0
20501,45,2,21,85.0,77.0
33401,45,12,3,67.0,53.0
50802,45,12,23,84.0,65.0
50401,43,4,11,85.0,73.0
16504,43,8,10,53.0,41.0
33405,45,9,28,103.0,68.0
50801,43,8,25,72.0,66.0
10001,42,7,8,80.0,72.0
10001,45,4,10,94.0,75.0
13601,45,2,17,67.0,61.0
22509,40,2,9,78.0,63.0
11610,43,9,13,88.0,74.0
11604,42,10,18,88.0,76.0
50304,45,4,3,87.0,78.0
22502,40,9,18,85.0,71.0
10502,45,7,7,86.0,72.0
13005,43,4,28,70.0,55.0
30001,44,9,28,83.0,75.0
10001,44,1,10,91.0,73.0
82405,43,5,11,77.0,62.0
22507,43,11,29,85.0,66.0
16201,45,1,28,32.0,26.0
11601,43,10,11,80.0,73.0
32907,43,10,15,85.0,70.0
12101,44,3,21,98.0,65.0
20501,45,9,24,88.0,75.0
80411,44,8,1,75.0,71.0
31401,43,7,15,98.0,80.0
50801,42,11,18,75.0,69.0
33031,45,8,16,86.0,74.0
20501,44,7,30,85.0,72.0
11604,43,3,16,81.0,71.0
10802,44,1,27,87.0,76.0
22508,43,8,26,80.0,68.0
41204,45,9,2,87.0,75.0
16407,43,9,18,42.0,34.0
11604,45,7,1,86.0,76.0
10102,45,3,16,95.0,75.0
81702,45,3,27,90.0,72.0
10803,43,6,13,89.0,71.0
32904,43,4,26,87.0,64.0
22509,40,6,16,85.0,71.0
10002,44,10,15,85.0,75.0
31101,44,12,9,94.0,52.0
10804,45,1,6,89.0,66.0
32812,44,11,2,92.0,65.0
11902,44,3,2,89.0,66.0
16407,43,6,24,58.0,44.0
22502,40,8,21,86.0,72.0
80510,44,11,4,83.0,73.0
10701,42,6,30,87.0,75.0
22502,41,2,22,80.0,64.0
16201,43,4,26,41.0,33.0
61501,44,5,29,85.0,78.0
33501,44,12,18,41.0,28.0
32503,45,5,4,88.0,75.0
30001,44,2,20,87.0,77.0
33031,43,8,5,90.0,58.0
32601,43,9,13,87.0,75.0
22509,41,4,17,83.0,65.0
12702,45,7,24,90.0,81.0
11606,45,6,15,85.0,78.0
32701,45,6,10,116.0,81.0
22507,44,12,25,80.0,63.0
81702,44,7,19,87.0,65.0
11610,42,12,8,87.0,70.0
16407,43,8,6,58.0,36.0
22508,40,12,9,80.0,63.0
32906,44,11,7,83.0,59.0
50301,45,7,4,82.0,77.0
32503,45,5,11,94.0,78.0
41207,45,11,2,87.0,69.0
13601,44,9,3,82.0,71.0
31101,45,5,7,105.0,82.0
60701,44,10,16,88.0,79.0
82403,43,3,24,100.0,72.0
11604,43,1,14,82.0,75.0
22502,45,9,7,86.0,72.0
31401,43,4,18,88.0,72.0
10704,44,6,30,85.0,71.0
34104,45,4,11,72.0,43.0
22507,45,10,18,84.0,71.0
42401,45,8,16,84.0,79.0
11103,45,5,30,78.0,69.0
10705,44,9,9,86.0,72.0
16405,42,5,14,46.0,38.0
80510,45,4,23,86.0,75.0
34002,44,5,13,70.0,56.0
32904,44,4,17,87.0,61.0
82501,44,3,23,81.0,56.0
20501,42,4,23,91.0,77.0
50802,45,4,21,89.0,68.0
33109,44,2,25,60.0,45.0
34104,45,8,3,82.0,62.0
11615,45,2,8,84.0,65.0
61502,44,5,22,86.0,76.0
22509,41,10,25,79.0,70.0
10806,44,12,14,66.0,57.0
34018,45,5,4,61.0,55.0
13002,43,12,30,68.0,50.0
13601,43,8,23,87.0,80.0
50801,43,11,7,71.0,65.0
22502,42,5,3,82.0,61.0
11601,45,6,28,87.0,78.0
13005,45,2,14,77.0,46.0
31101,45,6,6,103.0,74.0
11902,43,9,12,93.0,71.0
33401,45,9,25,106.0,73.0
80510,45,4,28,87.0,74.0
22502,41,11,12,81.0,66.0
21501,45,6,10,84.0,65.0
11902,43,8,10,88.0,71.0
33014,44,6,9,80.0,55.0
10802,45,3,4,87.0,75.0
31302,44,6,2,79.0,53.0
20501,42,10,21,84.0,74.0
33117,44,1,24,59.0,52.0
60701,42,11,15,87.0,75.0
82404,43,7,11,69.0,35.0
13002,43,1,21,64.0,49.0
10704,45,1,9,85.0,69.0
10001,44,12,20,90.0,71.0
82503,44,5,8,86.0,43.0
11801,45,6,17,92.0,75.0
33031,44,2,22,56.0,32.0
82506,45,4,15,82.0,64.0
11101,43,12,28,75.0,64.0
10701,40,3,20,93.0,75.0
22508,42,2,9,83.0,62.0
32501,44,9,16,87.0,75.0
32805,43,7,29,90.0,77.0
32503,45,5,20,91.0,79.0
22508,42,11,16,82.0,67.0
11501,43,10,24,87.0,78.0
12701,43,11,29,84.0,65.0
12001,45,4,17,94.0,60.0
10101,45,4,2,86.0,71.0
50303,44,7,18,76.0,71.0
10502,43,12,18,84.0,71.0
10502,44,7,24,89.0,72.0
81702,45,6,21,78.0,60.0
11610,42,1,8,84.0,69.0
22502,44,7,20,83.0,70.0
22502,43,7,21,84.0,64.0
11606,44,10,12,90.0,80.0
50801,43,7,13,75.0,70.0
82405,43,8,18,80.0,52.0
10502,45,7,13,89.0,70.0
82403,42,6,27,84.0,55.0
11704,42,3,23,90.0,69.0
50401,45,10,20,92.0,71.0
34111,44,1,23,57.0,34.0
12101,43,7,19,107.0,78.0
44401,45,11,3,47.0,35.0
32601,45,10,11,90.0,70.0
10502,41,10,29,92.0,73.0
80509,45,1,2,89.0,68.0
33031,45,9,21,90.0,71.0
43305,45,12,2,53.0,35.0
11601,42,12,19,84.0,77.0
32501,45,3,3,78.0,59.0
34013,45,4,5,65.0,43.0
34013,45,3,13,60.0,37.0
16504,45,3,10,6.0,-4.0
22504,41,1,21,81.0,65.0
50403,44,8,23,89.0,71.0
16202,44,10,2,46.0,37.0
20501,42,9,2,83.0,74.0
13601,44,4,27,78.0,68.0
10804,44,1,21,92.0,70.0
31401,45,1,8,84.0,73.0
32301,43,12,13,85.0,51.0
34111,44,2,5,54.0,41.0
22502,41,4,12,82.0,67.0
33303,44,2,7,71.0,52.0
33003,44,5,2,71.0,48.0
80425,44,8,3,86.0,69.0
10705,44,12,19,90.0,74.0
12702,44,5,6,81.0,72.0
22504,41,7,20,86.0,77.0
11501,44,11,29,85.0,75.0
10703,45,5,4,88.0,75.0
11604,42,10,10,87.0,76.0
20501,41,11,9,87.0,80.0
60701,45,3,22,91.0,75.0
34123,44,8,18,100.0,67.0
13013,45,11,9,74.0,57.0
22508,42,4,7,72.0,60.0
33501,45,10,30,70.0,49.0
32601,44,6,6,92.0,81.0
31001,44,2,1,77.0,51.0
50802,44,11,1,78.0,60.0
20602,45,4,24,85.0,78.0
11801,45,3,13,92.0,74.0
33405,44,9,27,104.0,61.0
34022,45,9,20,74.0,52.0
32815,44,7,5,92.0,80.0
12702,45,1,26,76.0,66.0
32702,43,11,9,92.0,64.0
11902,45,4,9,91.0,62.0
16405,43,8,10,51.0,40.0
12801,44,7,13,94.0,75.0
31701,43,2,6,98.0,64.0
50801,42,12,22,78.0,69.0
32701,44,6,28,104.0,80.0
33501,45,10,5,85.0,51.0
33303,44,1,24,63.0,45.0
22502,42,8,27,88.0,72.0
31302,44,9,11,75.0,48.0
12801,43,9,23,92.0,67.0
50303,45,12,8,85.0,76.0
32301,44,10,16,95.0,58.0
50802,43,10,18,76.0,63.0
11801,44,11,17,88.0,67.0
12801,44,9,1,94.0,74.0
11704,43,6,11,88.0,68.0
10102,45,10,30,88.0,74.0
11601,45,7,22,86.0,74.0
34002,44,5,29,74.0,62.0
32301,44,12,18,70.0,46.0
82502,45,4,30,78.0,57.0
34017,45,8,7,83.0,66.0
32906,44,6,9,83.0,74.0
11701,45,10,17,87.0,73.0
22502,42,7,24,85.0,70.0
50303,44,9,24,82.0,69.0
33013,44,12,4,59.0,32.0
10802,44,9,11,84.0,72.0
31401,43,8,24,98.0,80.0
33044,43,3,12,55.0,39.0
22502,41,2,1,79.0,54.0
33023,45,9,25,76.0,62.0
16201,45,4,6,43.0,35.0
10718,45,7,14,87.0,74.0
33303,45,5,5,93.0,63.0
11610,45,4,4,85.0,69.0
22507,42,6,30,82.0,72.0
32702,45,11,16,89.0,59.0
50304,45,2,21,76.0,72.0
22507,44,10,3,85.0,68.0
10502,45,12,5,88.0,70.0
16405,45,12,22,40.0,29.0
82506,45,2,27,89.0,63.0
50802,45,5,4,89.0,68.0
31701,45,3,21,96.0,66.0
12702,45,5,4,86.0,77.0
11501,45,8,31,86.0,71.0
16504,42,6,30,64.0,45.0
33044,43,7,30,89.0,60.0
60701,45,9,3,92.0,79.0
33405,45,12,4,60.0,36.0
13601,45,10,21,78.0,71.0
33109,44,8,15,95.0,70.0
12801,44,12,10,81.0,60.0
32801,43,12,25,78.0,54.0
11606,45,11,3,90.0,79.0
11604,43,3,6,80.0,75.0
33206,44,12,7,64.0,49.0
82405,45,6,7,74.0,59.0
16504,43,8,22,56.0,38.0
10804,43,8,29,91.0,70.0
33123,45,4,16,70.0,59.0
12001,45,6,10,103.0,71.0
11902,45,10,1,84.0,73.0
60701,44,10,8,88.0,78.0
50802,44,4,24,84.0,69.0
33205,45,7,10,84.0,69.0
11606,44,5,11,84.0,77.0
10001,42,9,10,83.0,70.0
50401,45,9,1,89.0,71.0
43302,45,11,10,67.0,36.0
31701,45,8,12,80.0,65.0
32801,45,7,10,100.0,83.0
60701,43,7,22,88.0,77.0
11501,44,7,13,86.0,78.0
32803,43,9,21,92.0,78.0
11604,43,3,2,81.0,75.0
11501,45,12,6,85.0,74.0
31501,43,7,20,83.0,73.0
32906,44,10,28,85.0,62.0
32907,44,1,28,75.0,56.0
10505,45,6,10,78.0,74.0
33406,45,5,3,73.0,35.0
32907,43,10,27,89.0,60.0
30001,43,8,25,81.0,72.0
22504,41,2,8,71.0,57.0
10718,44,5,8,84.0,73.0
80411,45,2,28,94.0,77.0
31501,45,2,16,89.0,72.0
16407,44,12,18,42.0,25.0
11601,42,10,13,89.0,78.0
13201,44,4,1,64.0,54.0
10804,44,4,21,93.0,71.0
33019,44,6,22,79.0,61.0
12101,45,5,17,107.0,77.0
12101,45,6,23,114.0,80.0
62701,43,4,16,85.0,71.0
40601,45,10,27,89.0,78.0
13005,45,1,12,55.0,41.0
32904,44,2,21,78.0,57.0
80510,44,8,22,86.0,72.0
32503,45,7,13,103.0,82.0
11704,45,9,30,80.0,69.0
32801,43,3,6,87.0,53.0
50802,43,2,28,82.0,72.0
34111,44,2,26,55.0,43.0
10701,43,7,5,86.0,73.0
50801,44,10,9,71.0,63.0
10001,43,4,19,89.0,75.0
10701,42,1,7,92.0,72.0
11902,44,5,13,92.0,66.0
80411,45,4,22,91.0,74.0
33031,44,12,31,53.0,37.0
50801,42,12,30,78.0,72.0
61501,45,8,23,76.0,70.0
50304,45,7,14,81.0,68.0
82503,44,3,17,81.0,69.0
13005,44,5,24,77.0,52.0
11101,43,12,27,77.0,64.0
12101,44,6,4,106.0,79.0
33405,45,1,12,59.0,41.0
11704,42,11,30,90.0,69.0
32803,44,10,4,82.0,70.0
82502,45,4,2,80.0,55.0
81702,45,11,29,88.0,72.0
13005,43,7,8,96.0,60.0
22508,40,5,6,77.0,65.0
22508,44,1,12,80.0,60.0
11606,44,12,22,85.0,75.0
50301,43,11,7,86.0,74.0
33003,44,12,25,56.0,44.0
80412,45,3,11,88.0,74.0
82404,43,5,21,75.0,43.0
33307,45,5,18,88.0,53.0
50302,45,7,31,86.0,70.0
80411,44,7,22,82.0,70.0
32815,45,11,22,82.0,56.0
33401,44,7,11,106.0,79.0
11610,44,6,5,86.0,75.0
10802,44,11,20,84.0,74.0
12101,44,7,4,106.0,85.0
60701,42,9,23,88.0,78.0
11704,42,9,6,88.0,71.0
12801,44,7,25,90.0,73.0
50302,43,12,31,88.0,77.0
16407,43,3,12,10.0,0.0
81702,44,9,2,85.0,69.0
11704,44,3,1,90.0,61.0
16407,44,12,8,38.0,18.0
22508,40,4,1,81.0,64.0
82501,44,7,7,76.0,59.0
12801,43,12,6,85.0,63.0
22508,41,9,19,79.0,70.0
34150,45,2,11,54.0,39.0
11604,41,11,1,86.0,78.0
10804,42,5,15,87.0,74.0
60701,43,9,8,87.0,78.0
16201,44,11,1,48.0,39.0
12801,44,5,30,92.0,70.0
16202,43,8,12,56.0,39.0
32812,44,10,3,81.0,73.0
32702,45,4,12,97.0,67.0
34150,45,5,31,73.0,56.0
60701,43,7,5,88.0,77.0
80504,44,7,5,85.0,75.0
11901,44,12,17,69.0,52.0
81702,42,6,23,86.0,64.0
12101,45,6,20,103.0,78.0
12801,43,5,21,88.0,71.0
22502,44,5,6,81.0,67.0
50802,45,11,15,84.0,66.0
81702,43,8,26,87.0,65.0
31401,45,2,2,80.0,73.0
32906,44,11,1,80.0,61.0
50401,45,8,30,89.0,70.0
82404,43,6,14,73.0,47.0
10502,44,6,14,86.0,72.0
50802,44,3,13,91.0,73.0
31501,43,10,16,88.0,73.0
50302,43,12,16,89.0,76.0
32904,44,6,6,92.0,75.0
16201,44,2,4,32.0,13.0
80425,45,4,2,88.0,72.0
20501,42,10,3,85.0,75.0
32904,43,10,10,90.0,74.0
50801,45,7,29,73.0,66.0
43302,45,11,29,57.0,33.0
13005,43,10,23,79.0,58.0
10701,44,2,14,93.0,72.0
10807,45,3,28,92.0,68.0
32803,44,4,8,96.0,72.0
22507,44,7,25,88.0,69.0
31001,45,6,2,99.0,73.0
13002,43,9,3,81.0,68.0
81404,42,12,14,90.0,77.0
22507,43,11,11,83.0,63.0
50304,44,1,11,84.0,76.0
34139,44,11,7,57.0,50.0
33023,44,8,20,97.0,69.0
12701,44,3,6,94.0,65.0
16504,45,1,28,40.0,19.0
10701,42,11,15,89.0,73.0
33023,44,4,26,64.0,49.0
33405,44,7,14,109.0,76.0
10505,44,12,8,91.0,68.0
22509,40,9,2,84.0,76.0
31501,43,6,8,90.0,78.0
11610,42,3,18,87.0,73.0
82506,45,5,15,70.0,45.0
10803,45,5,3,90.0,76.0
11704,45,3,5,89.0,61.0
30001,43,12,10,88.0,75.0
10505,44,1,31,86.0,70.0
42401,45,8,30,88.0,79.0
10703,44,12,21,87.0,76.0
20501,43,11,6,89.0,76.0
33019,44,2,24,62.0,51.0
16405,42,11,18,38.0,26.0
34109,44,12,5,64.0,46.0
15027,45,5,22,56.0,46.0
81702,43,1,27,87.0,73.0
32601,45,9,3,87.0,78.0
22508,43,12,4,78.0,67.0
81601,43,9,20,86.0,70.0
10804,45,1,1,90.0,71.0
82402,42,7,31,67.0,34.0
21501,44,7,9,83.0,65.0
22504,40,12,28,76.0,64.0
32801,42,8,26,92.0,78.0
33501,44,12,24,41.0,29.0
22509,41,2,15,81.0,61.0
31701,42,9,29,84.0,66.0
50303,43,12,12,85.0,76.0
34109,45,8,22,84.0,67.0
34109,44,6,1,78.0,55.0
11901,43,5,17,82.0,59.0
34109,44,3,23,43.0,38.0
10102,42,8,26,78.0,70.0
10804,42,12,30,89.0,67.0
31701,44,8,26,84.0,66.0
82403,43,11,10,99.0,71.0
10806,45,8,17,80.0,61.0
81702,44,8,17,84.0,66.0
80510,44,9,2,87.0,71.0
32907,43,7,2,88.0,78.0
11801,45,9,25,89.0,72.0
11103,44,10,8,87.0,79.0
81702,42,7,15,86.0,66.0
81601,44,9,24,82.0,74.0
50304,45,5,16,87.0,73.0
13007,45,1,24,59.0,35.0
32803,44,3,12,94.0,69.0
11101,44,3,9,77.0,62.0
61501,43,11,1,85.0,70.0
32601,43,11,15,93.0,58.0
11704,42,11,11,90.0,68.0
16201,44,8,5,58.0,48.0
10703,44,9,29,83.0,74.0
11902,42,11,2,89.0,74.0
10505,44,2,19,84.0,72.0
11610,44,7,27,88.0,71.0
16405,44,9,28,38.0,35.0
33109,44,2,8,56.0,41.0
33117,44,4,12,66.0,55.0
12001,43,12,15,63.0,35.0
34111,45,3,7,56.0,38.0
11704,44,12,5,82.0,63.0
82502,43,9,15,79.0,53.0
20501,45,11,27,87.0,76.0
60701,43,10,12,87.0,77.0
81601,44,10,26,83.0,74.0
34022,45,5,10,84.0,57.0
34013,44,12,10,57.0,35.0
81404,43,2,15,88.0,78.0
34147,45,5,5,64.0,48.0
60701,44,12,11,85.0,76.0
32701,44,2,24,77.0,54.0
10803,45,2,7,94.0,72.0
34123,45,4,2,74.0,40.0
11601,42,11,3,82.0,74.0
32805,44,7,24,95.0,75.0
41204,45,9,7,84.0,75.0
11501,45,10,15,86.0,78.0
82503,45,8,3,70.0,43.0
13601,42,6,22,84.0,77.0
16405,44,12,31,34.0,20.0
